Date,Price,Open,High,Low,Vol.,Change %
4/28/2020,22727.87,22616.28,22761.25,22616.28,266.62M,0.00
4/27/2020,22616.28,22599.38,22649.20,22584.64,106.06M,0.00
4/24/2020,22599.38,22470.79,22672.22,22458.37,211.53M,0.01
4/23/2020,22470.79,22780.30,22805.14,22407.60,201.48M,-0.01
4/22/2020,22780.30,22629.92,22799.78,22629.92,185.21M,0.01
4/21/2020,22629.92,22920.41,22920.41,22612.97,248.16M,-0.01
4/20/2020,22920.56,22921.59,23143.34,22920.13,343.24M,0.00
4/17/2020,22921.59,22554.84,22927.88,22524.23,231.60M,0.02
4/16/2020,22554.84,22539.94,22634.28,22380.94,379.11M,0.00
4/15/2020,22539.94,21879.95,22543.48,21873.47,326.39M,0.03
4/14/2020,21879.95,21384.03,21883.39,21239.02,264.74M,0.02
4/9/2020,21384.03,21073.26,21385.85,20985.63,314.85M,0.01
4/8/2020,21073.26,20925.19,21150.01,20925.19,346.41M,0.01
4/7/2020,20925.19,20683.16,20925.19,20667.55,342.57M,0.01
4/6/2020,20669.38,21094.62,21208.95,20651.59,336.42M,-0.02
4/3/2020,21094.62,21166.38,21197.32,20769.37,235.29M,0.00
4/2/2020,21121.20,21100.54,21170.00,20790.71,255.53M,0.00
4/1/2020,21100.54,21309.50,21317.98,20779.13,154.35M,-0.01
3/31/2020,21300.47,21330.79,21340.64,21270.26,422.00M,0.00
3/30/2020,21330.79,21828.65,21828.65,21330.79,466.87M,-0.02
3/27/2020,21861.78,21842.18,21885.05,21803.89,251.41M,0.00
3/26/2020,21757.47,21729.48,21903.00,21696.88,172.16M,0.00
3/25/2020,21729.48,21743.47,21814.74,21663.32,233.07M,0.00
3/24/2020,21741.16,21703.80,21770.42,21703.80,330.10M,0.00
3/23/2020,21700.98,22198.43,22208.81,21694.16,464.36M,-0.02
3/20/2020,22198.43,22072.56,22211.67,22035.11,379.48M,0.00
3/19/2020,22118.90,22785.19,22785.19,22118.90,525.85M,-0.03
3/18/2020,22789.64,22549.09,22804.70,22118.37,671.52M,0.01
3/17/2020,22543.07,22705.19,23008.59,22497.73,675.82M,-0.01
3/16/2020,22705.19,22745.39,22797.39,22618.36,551.48M,0.00
3/13/2020,22734.07,22729.01,22813.47,22550.08,732.62M,0.00
3/12/2020,22695.88,23500.46,23500.46,22694.32,1.06B,-0.04
3/11/2020,23572.75,24278.53,24321.51,23260.07,1.39B,-0.03
3/10/2020,24388.66,25412.57,25412.57,24381.88,594.47M,-0.05
3/9/2020,25647.54,26141.24,26141.24,25648.45,185.49M,-0.02
3/6/2020,26279.61,26426.20,26455.26,26273.58,361.08M,-0.01
3/5/2020,26426.20,26418.82,26626.07,26408.25,431.90M,0.00
3/4/2020,26415.54,26283.35,26438.78,26256.24,307.66M,0.01
3/3/2020,26255.11,25816.57,26344.55,25816.57,387.42M,0.02
3/2/2020,25816.57,26143.02,26170.58,25816.57,325.26M,-0.02
2/28/2020,26216.46,26808.24,26808.24,26216.46,416.28M,-0.02
2/27/2020,26808.24,26974.38,26977.40,26796.43,231.52M,-0.01
2/26/2020,26974.38,27033.10,27033.90,26870.39,228.36M,0.00
2/25/2020,27033.10,27041.03,27105.46,27031.71,241.71M,0.00
2/24/2020,27041.03,27388.62,27515.79,27000.85,428.96M,-0.01
2/21/2020,27388.62,27568.91,27614.65,27236.53,421.22M,-0.01
2/20/2020,27568.91,27523.26,27622.42,27292.61,484.99M,0.00
2/19/2020,27523.08,27547.56,27556.13,27512.72,290.13M,0.00
2/18/2020,27547.56,27570.94,27570.94,27527.51,168.07M,0.00
2/17/2020,27570.94,27756.56,27818.09,27507.99,134.61M,-0.01
2/14/2020,27755.87,27864.84,27879.31,27675.52,132.51M,0.00
2/13/2020,27864.84,27881.45,27916.64,27686.34,150.72M,0.00
2/12/2020,27878.43,27871.90,27919.10,27866.46,152.34M,0.00
2/11/2020,27871.90,27769.07,27936.16,27637.33,276.27M,0.00
2/10/2020,27773.20,28067.09,28119.19,27772.16,200.16M,-0.01
2/7/2020,28067.09,28140.41,28195.75,28054.73,303.93M,0.00
2/6/2020,28140.41,28093.76,28385.36,27949.15,317.19M,0.00
2/5/2020,28093.76,28432.27,28506.63,28032.23,350.21M,-0.01
2/4/2020,28432.27,28533.40,28540.30,28415.12,254.85M,0.00
2/3/2020,28533.40,28843.53,28843.53,28389.60,246.51M,-0.01
1/31/2020,28843.53,29035.55,29096.29,28817.45,348.56M,-0.01
1/30/2020,29030.93,29110.90,29222.83,28898.74,274.43M,0.00
1/29/2020,29110.90,29378.63,29381.95,29054.23,242.76M,-0.01
1/28/2020,29378.63,29525.56,29529.60,29347.09,250.93M,-0.01
1/27/2020,29552.99,29628.84,29648.35,29552.99,444.01M,0.00
1/24/2020,29628.84,29628.84,29628.84,29628.84,-,0.00
1/23/2020,29591.29,29591.29,29591.29,29591.29,-,0.00
1/22/2020,29458.21,29461.20,29488.93,29244.41,315.67M,0.00
1/21/2020,29462.76,29713.61,29723.75,29360.13,272.84M,-0.01
1/20/2020,29710.56,29618.52,29713.84,29545.93,266.95M,0.00
1/17/2020,29618.52,29352.13,29623.55,29331.35,324.97M,0.01
1/16/2020,29352.13,29062.50,29497.97,29062.50,387.16M,0.01
1/15/2020,29062.50,29030.41,29094.14,28855.22,360.08M,-0.01
1/14/2020,29283.15,29633.58,29812.97,29037.12,666.78M,-0.01
1/13/2020,29633.58,29415.39,29909.06,29415.39,348.24M,0.01
1/10/2020,29415.39,29393.88,29585.13,28858.83,280.86M,0.00
1/9/2020,29395.57,28562.48,29484.10,28539.16,693.19M,0.03
1/8/2020,28562.48,27579.57,28562.48,27579.57,741.82M,0.04
1/7/2020,27586.93,27339.68,27699.59,27295.49,446.33M,0.01
1/6/2020,27339.68,26968.79,27339.68,26968.68,520.39M,0.01
1/3/2020,26968.79,26867.79,26978.46,26867.79,608.86M,0.00
1/2/2020,26867.79,26845.79,26867.79,26657.32,263.20M,0.00
12/31/2019,26842.07,26609.34,27357.84,26608.56,257.01M,0.01
